Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACHC,08:51,33.39,33.39,33.39,33.39,33.39,241,1
20200102,ACHC,09:30,33.42,33.42,33.42,33.42,33.42,2542,1
20200102,ACHC,09:31,33.11,33.13,33.11,33.13,33.12,200,2
20200102,ACHC,09:33,33.2150,33.2150,33.2150,33.2150,33.215,100,1
20200102,ACHC,09:36,33.24,33.25,33.24,33.25,33.24396,480,3
20200102,ACHC,09:37,33.23,33.24,33.21,33.21,33.22364,1100,10
20200102,ACHC,09:38,33.20,33.20,33.15,33.17,33.18143,700,7
20200102,ACHC,09:39,33.16,33.16,33.16,33.16,33.16,100,1
20200102,ACHC,09:40,33.20,33.20,33.14,33.20,33.18909,1100,9
20200102,ACHC,09:41,33.19,33.19,33.19,33.19,33.19,100,1
20200102,ACHC,09:42,33.12,33.13,33.12,33.12,33.124,500,5
20200102,ACHC,09:43,33.12,33.14,33.10,33.12,33.12535,1315,11
20200102,ACHC,09:45,33.09,33.12,33.09,33.12,33.10833,600,6
20200102,ACHC,09:46,33.12,33.15,33.12,33.15,33.14,300,3
20200102,ACHC,09:47,33.11,33.11,33.10,33.10,33.105,200,2
20200102,ACHC,09:48,33.07,33.07,33.07,33.07,33.07,100,1
20200102,ACHC,09:49,33.01,33.01,33.00,33.01,33.009,1000,10
20200102,ACHC,09:52,33.01,33.04,33.01,33.02,33.01241,2900,22
20200102,ACHC,09:53,33.05,33.05,33.00,33.00,33.0119,8400,41
20200102,ACHC,09:54,33.00,33.05,32.99,33.05,33.00277,7939,57
20200102,ACHC,09:55,33.05,33.05,33.05,33.05,33.05,200,2
20200102,ACHC,09:58,33.05,33.0550,33.00,33.02,33.02031,1600,15
20200102,ACHC,09:59,33.02,33.02,33.01,33.01,33.015,200,2
20200102,ACHC,10:00,33.01,33.01,33.00,33.01,33.0075,400,4
20200102,ACHC,10:01,33.02,33.02,33.02,33.02,33.02,380,3
20200102,ACHC,10:02,33.03,33.05,33.03,33.05,33.03833,300,3
20200102,ACHC,10:03,33.06,33.06,33.06,33.06,33.06,100,1
20200102,ACHC,10:05,33.03,33.03,32.99,33.00,32.99905,2100,20
20200102,ACHC,10:07,32.99,33.04,32.99,33.04,33.01723,1300,10
20200102,ACHC,10:08,33.05,33.05,33.05,33.05,33.05,500,5
20200102,ACHC,10:10,33.05,33.05,33.05,33.05,33.05,100,1
20200102,ACHC,10:11,33.03,33.03,33.01,33.02,33.02,500,5
20200102,ACHC,10:12,33.00,33.00,32.95,32.95,32.981,1000,9
20200102,ACHC,10:13,32.95,32.96,32.94,32.96,32.949,1500,15
20200102,ACHC,10:14,32.94,32.94,32.93,32.93,32.93213,1906,17
20200102,ACHC,10:15,32.93,32.95,32.93,32.93,32.93493,2027,17
20200102,ACHC,10:17,32.94,32.95,32.94,32.95,32.94135,743,7
20200102,ACHC,10:18,32.96,32.96,32.94,32.94,32.95,600,5
20200102,ACHC,10:20,32.96,32.96,32.96,32.96,32.96,100,1
20200102,ACHC,10:21,32.95,32.97,32.95,32.97,32.96125,800,8
20200102,ACHC,10:23,32.95,32.95,32.92,32.93,32.92933,1500,15
20200102,ACHC,10:24,32.93,32.96,32.93,32.96,32.94667,300,3
20200102,ACHC,10:25,32.93,32.93,32.93,32.93,32.93,200,2
20200102,ACHC,10:27,32.93,32.93,32.93,32.93,32.93,200,2
